Name,Area
Acadia National Park,49057.36
Arches National Park,76678.98
Badlands National Park,242755.94
Big Bend National Park,801163.21
Biscayne National Park,172971.11
Black Canyon of the Gunnison National Park,30749.75
Bryce Canyon National Park,35835.08
Canyonlands National Park,337597.83
Capitol Reef National Park,241904.26
Carlsbad Caverns National Park,46766.45
Channel Islands National Park,249.561
Congaree National Park,26275.82
Crater Lake National Park,183224.05
Cuyahoga Valley National Park,32572.35
Death Valley National Park,3373063.14
Denali National Park,4740911.16
Dry Tortugas National Park,64701.22
Everglades National Park,1508968.1
Gates of the Arctic National Park,7523897.45
Glacier Bay National Park,3223383.43
Glacier National Park,1013128.94
Grand Canyon National Park,1201647.03
Grand Teton National Park,310043.96
Great Basin National Park,77180
Great Sand Dunes National Park,107341.87
Great Smoky Mountains National Park,522426.88
Guadalupe Mountains National Park,86367.1
Haleakala National Park,33246.62
Hawai'i Volcanoes National Park,323431.38
Hot Springs National Park,5549.1
Isle Royale National Park,571790.11
Joshua Tree National Park,790635.74
Katmai National Park,3674529.33
Kenai Fjords National Park,669983.65
Kings Canyon National Park,461901.2
Kobuk Valley National Park,1750716.16
Lake Clark National Park,2619816.49
Lassen Volcanic National Park,106589.02
Mammoth Cave National Park,52830.19
Mesa Verde National Park,52485.17
Mount Rainier National Park,236381.64
National Park of American Samoa,8256.67
North Cascades National Park,504780.94
Olympic National Park,922650.1
Petrified Forest National Park,221415.77
Pinnacles National Park,26685.73
Redwood National Park,138999.37
Rocky Mountain National Park,265795.2
Saguaro National Park,91715.72
Sequoia National Park,404062.63
Shenandoah National Park,199195.27
Theodore Roosevelt National Park,70446.89
Virgin Islands National Park,14948.46
Voyageurs National Park,218200.15
Wind Cave National Park,33970.84
Wrangell-St. Elias National Park,8323146.48
Yellowstone National Park,2219790.71
Yosemite National Park,761747.5
Zion National Park,147237.02